"","x"
"572","FBgn0040629"
"573","FBgn0264900"
"574","FBgn0261583"
"575","FBgn0263384"
"576","FBgn0039887"
"577","FBgn0263385"
"578","FBgn0266728"
"579","FBgn0265964"
"580","FBgn0265965"
"581","FBgn0025616"
"582","FBgn0029535"
"583","FBgn0040338"
"584","FBgn0029552"
"585","FBgn0040365"
"586","FBgn0040362"
"587","FBgn0029590"
"588","FBgn0040391"
"589","FBgn0052797"
"590","FBgn0025838"
"591","FBgn0000928"
"592","FBgn0040356"
"593","FBgn0040355"
"594","FBgn0029642"
"595","FBgn0029667"
"596","FBgn0053221"
"597","FBgn0029679"
"598","FBgn0052783"
"599","FBgn0029694"
"600","FBgn0029701"
"601","FBgn0025387"
"602","FBgn0025613"
"603","FBgn0029724"
"604","FBgn0267071"
"605","FBgn0029726"
"606","FBgn0029727"
"607","FBgn0061196"
"608","FBgn0029751"
"609","FBgn0029754"
"610","FBgn0262610"
"611","FBgn0262611"
"612","FBgn0262575"
"613","FBgn0053664"
"614","FBgn0053668"
"615","FBgn0053666"
"616","FBgn0265265"
"617","FBgn0262827"
"618","FBgn0052719"
"619","FBgn0262612"
"620","FBgn0052720"
"621","FBgn0029963"
"622","FBgn0029964"
"623","FBgn0260447"
"624","FBgn0029987"
"625","FBgn0029989"
"626","FBgn0029993"
"627","FBgn0030015"
"628","FBgn0052712"
"629","FBgn0262989"
"630","FBgn0267097"
"631","FBgn0263509"
"632","FBgn0030207"
"633","FBgn0265458"
"634","FBgn0265986"
"635","FBgn0030296"
"636","FBgn0030307"
"637","FBgn0030370"
"638","FBgn0085352"
"639","FBgn0030384"
"640","FBgn0030409"
"641","FBgn0052650"
"642","FBgn0030455"
"643","FBgn0265609"
"644","FBgn0265610"
"645","FBgn0030495"
"646","FBgn0264381"
"647","FBgn0030538"
"648","FBgn0266278"
"649","FBgn0052601"
"650","FBgn0030566"
"651","FBgn0030577"
"652","FBgn0030578"
"653","FBgn0052588"
"654","FBgn0030620"
"655","FBgn0262486"
"656","FBgn0030622"
"657","FBgn0030623"
"658","FBgn0030647"
"659","FBgn0030663"
"660","FBgn0262991"
"661","FBgn0030664"
"662","FBgn0030667"
"663","FBgn0262606"
"664","FBgn0267930"
"665","FBgn0262283"
"666","FBgn0264077"
"667","FBgn0030770"
"668","FBgn0030814"
"669","FBgn0030823"
"670","FBgn0262101"
"671","FBgn0283476"
"672","FBgn0030900"
"673","FBgn0004956"
"674","FBgn0030918"
"675","FBgn0030940"
